Dif	Group
20103494	sim
19039511	sim
13914206	sim
62525930	sim
93558812	sim
6696734	sim
16650325	sim
3688838	sim
4668340	sim
30368021	sim
924667	sim
27338719	sim
6646581	sim
56694621	sim
66214141	sim
13411439	sim
10244249	sim
18157948	sim
47956083	sim
51618244	sim
9811521	sim
50944833	sim
37545301	sim
36509015	sim
8116523	sim
2552168	sim
17280995	sim
28819605	sim
11806213	sim
5764894	sim
759958	sim
17154072	sim
27862189	sim
40694131	sim
53003730	sim
17312979	sim
75074792	sim
502518	sim
44607418	sim
6678954	sim
3690182	sim
34966798	sim
14021470	sim
6087562	sim
7164057	sim
4745391	sim
23524314	sim
89141650	sim
6964679	sim
9109202	sim
4885869	sim
45932572	sim
4054268	sim
7005479	sim
37410056	sim
56357771	sim
9340753	sim
9243771	sim
35465007	sim
31983589	sim
36891065	sim
6895210	sim
3762591	sim
66651369	sim
24640751	sim
16555211	sim
1512099	sim
21394064	sim
4477243	sim
75251300	sim
16806896	sim
51479937	sim
30631763	sim
26489190	sim
1881714	sim
89368661	sim
32237555	sim
43337068	sim
6408673	sim
21008493	sim
20956811	sim
20231944	sim
23000547	sim
38125677	sim
6089130	sim
5944889	sim
6288196	sim
32407380	sim
39967000	sim
1421300	sim
21643933	sim
2726756	sim
20513289	sim
11154	sim
2950619	sim
1849024	sim
21101988	sim
6980163	sim
17494215	sim
7522136	sim
25677237	sim
1114859	sim
4375500	sim
81412510	sim
55456657	sim
1025367	sim
5756415	sim
14710026	sim
30271653	sim
9067413	sim
16963677	sim
35818110	sim
10392608	sim
221041	sim
35442402	sim
3460804	sim
3836072	sim
23201808	sim
61814181	sim
39954261	sim
61768503	sim
16075069	sim
3459885	sim
11103667	sim
58930789	sim
10428254	sim
43391693	sim
2821413	sim
4348529	sim
41719621	sim
49663091	sim
42163486	sim
14559733	sim
11004135	sim
32334329	sim
29777777	sim
12251024	sim
15140875	sim
49658978	sim
4070866	sim
59182828	sim
29073695	sim
15323179	sim
6424025	sim
85373110	sim
18612579	sim
1727786	sim
14805255	sim
62343362	sim
53202351	sim
9726524	sim
3547838	sim
16332454	sim
56384459	sim
12178916	sim
158467	sim
42342336	sim
3021957	sim
5369947	sim
83409074	sim
59601825	sim
45693478	sim
17029316	sim
5952477	sim
7183653	sim
34695684	sim
16239460	sim
20630456	sim
80060588	sim
4956801	sim
26079816	sim
30939160	sim
6259739	sim
35131922	sim
8238714	sim
40154755	sim
46659820	sim
9021383	sim
4668123	sim
22744886	sim
37624990	sim
62612008	sim
1721007	sim
36079287	sim
11747662	sim
12582003	sim
47414834	sim
49113912	sim
50952596	sim
8466658	sim
36067711	sim
296424	sim
13095270	sim
39093840	sim
4861732	sim
6674189	sim
88607135	sim
1772263	sim
4926751	sim
43582194	sim
2480781	sim
15816761	sim
5064606	sim
18849212	sim
15086523	sim
95622109	sim
14666434	sim
7474612	sim
25157118	sim
4968885	sim
56732416	sim
12045729	sim
4533358	sim
923239	sim
38145506	sim
11891008	sim
27370441	sim
20181198	sim
26508113	sim
65112607	sim
17995739	sim
23566389	sim
36739175	sim
8575359	sim
15329799	sim
17632386	sim
9874880	sim
24115696	sim
11274300	sim
68280631	sim
21989515	sim
27194480	sim
15522274	sim
36248127	sim
3025207	sim
54007778	sim
15983564	sim
4405895	sim
23098314	sim
49983131	sim
2281229	sim
35683115	sim
22625151	sim
52381848	sim
75009094	sim
20867552	sim
1781966	sim
30382136	sim
110041507	sim
11272080	sim
17876609	sim
1632972	sim
4822113	sim
58840087	sim
18439358	sim
23135504	sim
46220220	sim
8787641	sim
31279300	sim
42369569	sim
4287592	sim
3705313	sim
29838177	sim
24216311	sim
38769468	sim
34071089	sim
48868287	sim
26389171	sim
21983833	sim
39988920	sim
2580133	sim
10904625	sim
56025321	sim
4054182	sim
14219685	sim
37089827	sim
18999101	sim
962423	sim
11031747	sim
38056179	sim
35953717	sim
26591903	sim
6150302	sim
20619474	sim
33866797	sim
19623965	sim
266259	sim
14156289	sim
17009616	sim
14464281	sim
47149761	sim
74084648	sim
16478170	sim
9844976	sim
8807179	sim
108249985	sim
20301893	sim
51532780	sim
28609357	sim
12051973	sim
72390334	sim
2614522	sim
22024522	sim
8473006	sim
5066404	sim
864828	sim
49177957	sim
39997990	sim
9020472	sim
35782248	sim
20692600	sim
22457933	sim
37406596	sim
30449687	sim
53468689	sim
10704918	sim
13256786	sim
34689585	sim
12386462	sim
25699583	sim
3195938	sim
110597795	sim
3322058	sim
1659315	sim
30956099	sim
6055155	sim
31807594	sim
15742676	sim
72146995	sim
3795122	sim
5345955	sim
42062668	sim
9690711	sim
20636889	sim
48535245	sim
22791995	sim
33208552	sim
34447005	sim
6217541	sim
36943548	sim
23731151	sim
4174927	sim
5716794	sim
4452845	sim
11621737	sim
45750930	sim
4312009	sim
51436266	sim
11049938	sim
16493404	sim
34398981	sim
23809820	sim
21771677	sim
38975753	sim
36959883	sim
57201699	sim
3246628	sim
88620793	sim
1605722	sim
17953674	sim
7171772	sim
21882650	sim
26876566	sim
6774411	sim
26170657	sim
4771104	sim
57235972	sim
17038863	sim
25081974	sim
2908121	sim
68653834	sim
26731938	sim
